Comment,Designator,Footprint,LCSC Part #
3.3k,R3,R0402,
4.7k,R14,R0402,
5.1k,R9 R10,R0402,
10k,R12 R15 R18 R22,R0402,
10uF/16V,C3,C0603,
22uF,C2,C0603,
47k,R19 R20,R0402,
100k,R13,R0402,
100nF,C1,C0402,
AO3401,Q2,SOT23,
BAT60B,D3,SOD323-R,
DMG2305UX,Q6,MICRO3,C144153
ESP32-C3-MINI-1-N4,IC2,ESP32C3MINI1N4,
JST-PH-2_SMD/SMD,P1,B2B-PH-SM4,C160352
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
MMDT5401,Q5,SC70-6,C54540
RED,CHARGING,CHIP-LED0603,C2286
SK6812-EC20,LED_IO9,SK6812EC20,
TP4054,CH,SOT-23-5,C32574
USB-C_GT-USB-7010B,J3,G-SWITCH_GT-USB-7010B,C2837092
USUP_SPI_CONNECTOR_VERT,J1,1X06_1MM_RA_VERT,C145963
1.3M,R7,R0402,
1M,R6,R0402,
1k65,R5,R0402,
3k3,R11,R0402,
10k,R17 R21,R0402,
10uF/16V,C4 C6 C9 C13,C0603,
100nF,C5 C8 C14,C0402,
EN button,FLASH RESET,1TS003B16003500A,C255808
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
RT9080-33GJ5,LDO LDO_S,SOT94P280X100-5N,
