Designator,Mid X,Mid Y,Layer,Rotation
ADC_IO0,-5.87,20.57,Bottom,0.0
C5,10.29, 7.19,Bottom,180.0
C13, 6.76,22.07,Bottom,0.0
C14, 7.59,20.52,Bottom,0.0
CH_CURRENT, 4.80,11.15,Bottom,270.0
D3,-1.14,12.09,Bottom,90.0
FLASH,-12.04, 3.63,Bottom,270.0
JP2,-8.00,20.55,Bottom,90.0
Q1,-3.96,10.92,Bottom,0.0
R1,10.29, 8.61,Bottom,0.0
R2,-6.65, 3.81,Bottom,90.0
R3,-1.24, 3.68,Bottom,90.0
R4,-3.53,16.54,Bottom,90.0
R5, 1.75, 3.68,Bottom,90.0
R12,-4.42,14.35,Bottom,0.0
R13,-6.50,11.51,Bottom,270.0
R15, 7.06,10.13,Bottom,180.0
R16, 7.06,12.17,Bottom,180.0
RESET,12.04, 3.63,Bottom,90.0
